question,id_context,reference_contexts,reference
¿Quién es Joaquín Sabina?,64,"Joaquín Ramón Martínez Sabina (Úbeda, 12 de febrero de 1949), conocido como Joaquín Sabina, es un cantautor, poeta y pintor español​. Ha publicado diecisiete discos de estudio y siete en directo, y ha colaborado con distintos artistas cantando dúos y realizando otras colaboraciones.","Joaquín Sabina es un cantautor y poeta de Úbeda, Jaén. Es conocido por algunas de sus canciones más famosas como '19 Días y 500 Noches', o 'Y nos dieron las diez'."
¿Cuando nació Juan Eslava Galán?,838,"Juan Eslava Galán (Arjona, Jaén, 7 de marzo de 1948) es un escritor español del género histórico, tanto de ficción como de no ficción. Saltó a la popularidad con la obtención del Premio Planeta en 1987. Ha publicado algunas novelas bajo el pseudónimo de Nicholas Wilcox. Biografía Hijo de olivareros, estudió en los colegios de Arjona hasta que, al cumplir los diez años, su familia se trasladó a Jaén, donde prosiguió el bachillerato.","Juan Eslava Galán nació el 7 de marzo de 1948 en Arjona, Jaén."
¿Cuál es la formación de Maite Martín Valdivia?,652,"María Teresa (ó Maite) Martín Valdivia (Jaén) es doctora en informática. Desde 1995 trabaja en la Universidad de Jaén como profesora del área de Lenguajes y Sistemas Informáticos del Departamento de Informática. Desde 2019 es catedrática de universidad. Forma parte del equipo de investigación SINAI (Sistemas Inteligentes de Acceso a la Información) desde su creación en 2001.​ Su área de especialización es el Procesamiento del Lenguaje Natural, y en la actualidad investiga dentro de los temas de análisis de opiniones y emociones, minería de textos, aprendizaje automático y búsqueda y recuperación de información en biomedicina. Biografía Se diplomó (1990) y licenció (1992) en Informática en la Universidad de Granada. Realizó su tesis doctoral en Informática en la Universidad de Málaga Desde 2007 es miembro del Consejo Asesor de la Sociedad Española para el Procesamiento del Lenguaje Natural (SEPLN), en cuya Junta Directiva fue tesorera desde 2007 hasta 2019.​​ Fue directora del Secretariado de Investigación de la Universidad de Jaén del 27 de noviembre de 2017 al 29 de abril de 2019.","Maite Martín Valdivia consiguió la diplomatura en Informática por la Universidad de Granada en 1990. Más tarde, en 1992, obtuvo la licenciatura en Informática en la misma universidad, realizando más tarde su tesis doctoral en la Universidad de Málaga."
Dame un resumen de la Leyenda del Lagarto de la Malena,942,"Según el mito, cuya primera referencia escrita data de 1628, en una cueva junto a la fuente de la Magdalena apareció un lagarto de grandes dimensiones (Gran Sierpe o Dragón), que atemorizaba a la gente y (dependiendo de la versión) se comía a quien iba a por agua o a las ovejas de los alrededores. Los vecinos de la Magdalena, asustados, no se atrevían a salir al manantial, por lo que buscaron una solución al problema del lagarto. En este punto, la leyenda se diversifica, habiendo tres versiones distintas de la muerte del reptil: El preso y los panes Un preso condenado a muerte solicitó su libertad a cambio de matar al lagarto. Tal era la desesperación de los vecinos que se le concedió la oportunidad de intentarlo. Para ello, solicitó un caballo, un costal de panes calientes y un saco con pólvora. Por la noche, el preso se presentó junto a la cueva y fue dejando una hilera de panes. El animal se despertó y se los fue comiendo tras el preso, que continuaba lanzando panes mientras huía a caballo. Al llegar a la plaza de San Ildefonso, en lugar de un pan le lanzó el saco de pólvora, que el animal devoró del mismo modo y, acto seguido, explotó.","Aunque existen varias versiones, la más aceptada es la siguiente: ""En el barrio de la magdalena había un temible lagarto que atacaba a todas las personas que pasaban por allí a por agua, pues Jaén es muy rica en agua. Los ciudadanos ya estaban hartos y pidieron al rey que enviase a alguien a combatir contra el lagarto. Un preso que estaba condenado se ofreció a cambio de que le liberasen. Pidió la piel de una oveja, pólvora, panes y un caballo. Fue hacía el raudal y empezó a tirarle los panes al enorme lagarto. llegó a una calle sin salida y le tiro la oveja con la pólvora dentro. El lagarto se la tragó. Al cabo de unos minutos explotó y el preso retomó su libertad."""
¿Cuando sale la procesión del Abuelo?,994,"La marcha fue compuesta expresamente para Nuestro Padre Jesús Nazareno, conocido popularmente como \""El Abuelo\"", perteneciente a la Antigua, Insigne y Real Cofradía de Nuestro Padre Jesús Nazareno y María Santísima de los Dolores de Jaén. Esta especial dedicación de la marcha a esta talla, que goza de una gran devoción, quedó reflejado cuando el autor decidió incluir parte del Himno a Jaén en la propia marcha. En otras provincias como en Málaga es muy común que se toque en honor a Nuestro Padre Jesús Nazareno, así ocurre en Almogía, donde se toca en honor al sagrado titular de la Hermandad de Culto y Procesión de Nuestro Padre Jesús Nazareno, conocido también como \""El Nuestro Padre\"". Igualmente ocurre en Alhaurín el Grande, donde la Banda de Música de la Real Hermandad de Nuestro Padre Jesús Nazareno la toca en honor a \""Nuestro Padre Jesús\"", mientras los portadores de su trono de procesión lo depositan en el suelo y cantan alrededor del mismo el Himno a Nuestro Padre Jesús Nazareno, letra compuesta por Loli Romero. Composición Siendo Emilio Cebrián Ruiz director de la Banda Municipal de Jaén desde 1932 al haber ganado el concurso oposición celebrado al quedar vacante la plaza, el fabricano del paso de Nuestro Padre Jesús Nazareno de Jaén, D. Antonio Delgado, le pidió que compusiera una marcha procesional para el Señor, pues hasta ese momento durante la procesión tan sólo se interpretaban las marchas \""Pobre Carmen\"" y \""España llora\"". El Viernes Santo de 1934, durante el trascurso de la procesión, el maestro Emilio Cebrián Ruiz abandonó momentáneamente su condición de director de la Banda Municipal para portar el paso de Nuestro Padre Jesús desde el “Cantón de la Ropa Vieja” al “Campillejo de Santiago”.","La procesión de ""El Abuelo"" sale a las calles el Viernes Santo, puesto que es una marcha que representa a Jesucristo llevando la cruz."
¿Qué lleva el ochío?,1435,"El ochío​ —a veces también escrito hochío—​ es un producto de panadería tradicional típico de Ubeda en la provincia de Jaén aunque se puede encontrar en otras ciudades de Andalucía; especialmente de la comarca de la Loma, aunque también en la comarca metropolitana de Jaén pero aquí elaborado de otra manera. Consiste en un pan de aceite de oliva virgen extra, pimentón y anís. El nombre le viene dado por ser la octava parte de la masa de un pan.","El ochío está hecho con pan de aceite de oliva virgen extra, pimentón y anís. Es un plato tradicional de Úbeda, Jaén."
¿En qué equipos ha jugado Imanol Alguacil?,1661,"Imanol Alguacil Barrenetxea (Orio, 4 de julio de 1971) es un exfutbolista y entrenador español que actualmente dirige al primer equipo de la Real Sociedad. Fue conocido futbolísticamente como Imanol.​ Jugó en el puesto de lateral derecho en la Real Sociedad y Villarreal CF a lo largo de la década de 1990. Con estos dos equipos disputó un total de 121 partidos en la Primera División de España a lo largo de 9 temporadas. Trayectoria como jugador Imanol Alguacil nació en 1971 en la localidad guipuzcoana de Orio. Imanol destacó como un lateral derecho de gran proyección ofensiva, lo que le permitía jugar también en el centro del campo. Fue un jugador habitual en la Real Sociedad a principios de los años 1990, pero nunca acabó de consolidarse del todo en el equipo y finalmente su carrera fue a menos. Fue integrante de la plantilla del Villarreal CF, que debutó en Primera división en la temporada 1998-99, y acabó jugando en varios equipos en Segunda y Segunda B antes de retirarse.","Durante su etapa como jugador, Imanol Alguacil ha jugado en la Real Sociedad, en el Villarreal, en el Real Jaén, en el Cartagonova y en el Burgos."
¿En qué categoría juega el equipo de fútbol de Torredonjimeno?,1601,"La Unión Deportiva Ciudad de Torredonjimeno es un club de fútbol de la ciudad de Torredonjimeno, (Jaén) que en la actualidad compite en el Grupo IX de la Tercera División de España. Historia Fundación y primeros años La UDCT nació en 2009 para sustituir al histórico Torredonjimeno C. F., que había desaparecido ese mismo año debido a las deudas que arrastraba.",El Unión Deportiva Ciudad de Torredonjimeno compite actualmente en el grupo nueve de la Tercera División.
¿Cómo se llama el estadio del equipo de fútbol sala de Jaén?,1315,"El Palacio de Deportes Olivo Arena , conocido simplemente como Olivo Arena es un pabellón de la ciudad de Jaén (España). En él juega sus partidos de Primera División de fútbol sala el Jaén Paraíso Interior y también se albergan grandes eventos.​ Historia El pabellón se inaugura en 2021 y se convierte en la nueva casa del Jaén Paraíso Interior para disputar sus partidos de Primera División de fútbol sala.​ Puede albergar distintos tipos de eventos.",El estadio del Jaén Fútbol Sala es el Olivo Arena.
¿Cuando se prevé que acabarán las obras del CETEDEX?,1917,"El Centro Tecnológico de Desarrollo y Experimentación o CETEDEX es un centro dependiente del Ministerio de Defensa, y adscrito al Instituto Nacional de Técnica Aeroespacial (INTA) anunciado en diciembre de 2022​ y cuya construcción se proyecta entre 2023 y 2029 en Jaén. El centro contará con un campus principal de 8 hectáreas y un campo de pruebas avanzado de 600 hectáreas​ en el Parque Empresarial Nuevo Jaén. Obras La construcción del campus principal se compone de dos fases: Vallado. Licitación prevista para abril de 2023 y ejecución entre julio y diciembre de 2023. Urbanización y edificaciones. Licitación prevista para septiembre de 2023 y ejecución de las obras durante 24 meses, a partir de julio de 2024. Por su parte, la recepción de la capacidad inicial se espera para diciembre de 2026 y la capacidad completa para finales de 2029​. El proyecto aún no tiene concreción alguna en planos o presupuesto.","Se prevé que para diciembre de 2026 se alcance una capacidad inicial, mientras que para finales de 2029 sería la capacidad completa."
