,question,retrieved_contexts,reference,reference_contexts
0,¿Quién es Joaquín Sabina?,"['El escándalo fue mayor cuando se conoció una carta que el mismo Joaquín Sabina le había escrito a Fito Páez en forma de poesía, donde resumía los motivos que determinaron el final de su relación laboral: «El rol del patito feo, no me va te lo aseguro, y menos el de hombre duro, que a ti te cuesta tan poco» recitaba Joaquín en la mencionada carta.\u200b Joaquín hizo una gira en solitario por teatros llamada Sabina, viuda e hijos en paños menores, de importante éxito y que destacó por la gran duración de los recitales, que llegaban a las tres horas.', 'Antonio Jesús Caballero (Martos, Andalucía, 6 de enero de 1994) es un futbolista español. Juega como centrocampista en las filas de la U. D. Logroñés de la Segunda Federación. Trayectoria Originario de Martos, Jaén, se formó en las categorías inferiores del Séneca.\u200b En 2013 fichó por el Martos C. D. donde estuvo una temporada.\u200b Al año siguiente se marchó al Lucena C. F.\u200b En 2015 fichó por la UD Ciudad de Torredonjimeno, y en ese mismo año se marchó al Atlético Mancha Real.', 'Joaquín Ramón Martínez Sabina (Úbeda, 12 de febrero de 1949) es un cantautor, poeta y pintor español.\u200b Ha publicado diecisiete discos de estudio y siete en directo, y ha colaborado con distintos artistas cantando dúos y realizando otras colaboraciones.', 'Con timbre de corona real, el escudo de Sabiote simboliza a los monarcas. En la parte inferior del escudo aparece una cartela con la divisa en sable Muy Leal Villa de Sabiote, concedida por Alfonso X.\u200b En marzo de 2017 el municipio de Sabiote estrenó su bandera. Por propuesta del ayuntamiento, en diciembre de 2016 se convocó a todos los habitantes bajo un concurso de ideas para la creación de la bandera del municipio de Sabiote.', 'Baeza y Úbeda en la Baja Edad Media. Granada: Editorial Don Quijote, 1988 RODRÍGUEZ-MOÑINO SORIANO, Rafael; CRUZ CABRERA, José Policarpo. Breve historia de Baeza. Málaga: Sarriá, 1999.']","Joaquín Sabina es un cantautor y poeta de Úbeda, Jaén. Es conocido por algunas de sus canciones más famosas como '19 Días y 500 Noches', o 'Y nos dieron las diez'.","Joaquín Ramón Martínez Sabina (Úbeda, 12 de febrero de 1949), conocido como Joaquín Sabina, es un cantautor, poeta y pintor español​. Ha publicado diecisiete discos de estudio y siete en directo, y ha colaborado con distintos artistas cantando dúos y realizando otras colaboraciones."
1,¿Cuando nació Juan Eslava Galán?,"['Juan Eslava Galán (Arjona, Jaén, 7 de marzo de 1948) es un escritor español del género histórico, tanto de ficción como de no ficción. Saltó a la popularidad con la obtención del Premio Planeta en 1987. Ha publicado algunas novelas bajo el pseudónimo de Nicholas Wilcox. Biografía Hijo de olivareros, estudió en los colegios de Arjona hasta que, al cumplir los diez años, su familia se trasladó a Jaén, donde prosiguió el bachillerato.', 'El arte de ser granaino. Ediciones Esdrújula, 2022 El misterio del practicante, Ediciones Esdrújula, 2023', 'También conoció a Ángel Barrios, Óscar Esplá, Andrés Segovia y a Juan Ramón Jiménez, entre otros intelectuales. El pintor Manuel Ángeles Ortiz la consideraba una de las musas de la tertulia granadina del Rinconcillo, junto a Emilia Aragón y Emilia Dávila.\u200b La amistad con Ismael González de la Serna Hacia 1915 entabló amistad con el pintor, asiduo visitante del Generalife.', 'Lignum Crucis (relicario barroco, S. XVII). Soledad de María (bajo la advocación de Virgen de la Aurora) acompañada por S. Juan Apóstol. La Virgen es obra Juan A. Sánchez Sáez (Baeza 1982) reformada por Manuel Hernández León (Sevilla 1988) quien también talló a S. Juan en el mismo año.', 'Cuatro personajes históricos relacionados con Órjiva (2004): Gaspar de Sarabia, alcaide de Órxiva, 1570; Gonzalo Fernández de Córdoba (1453-1515). Señor de la villa de Órgiva (Gran Capitán); José García Moreno (1857-1909). Diputado a Cortes por el distrito electoral de Órgiva. Caballero cubierto ante el Rey. Gobernador civil de Málaga; Natalio Rivas Santiago (1865-1958). Diputado a Cortes por el distrito electoral de Órgiva. Abogado. Político liberal.']","Juan Eslava Galán nació el 7 de marzo de 1948 en Arjona, Jaén.","Juan Eslava Galán (Arjona, Jaén, 7 de marzo de 1948) es un escritor español del género histórico, tanto de ficción como de no ficción. Saltó a la popularidad con la obtención del Premio Planeta en 1987. Ha publicado algunas novelas bajo el pseudónimo de Nicholas Wilcox. Biografía Hijo de olivareros, estudió en los colegios de Arjona hasta que, al cumplir los diez años, su familia se trasladó a Jaén, donde prosiguió el bachillerato."
2,¿Cuál es la formación de Maite Martín Valdivia?,"['Discursos de medallas y antigüedades, que compuso el muy ilustre señor don Martín de Gurrea y Aragón, duque de Villahermosa, conde de Ribagorza, sacados ahora á luz por la excelentísima señora doña María del Carmen Aragón Azlor, actual duquesa del mismo título, con una noticia de la vida y escritos del autor, por Don José Ramón Mélida, de la Real Academia de San Fernando, bibliotecario de la casa de Villahermosa.. Valladolid, 2003: Maxtor. ISBN 84-9761-043-1. Marineo Sículo, Lucio ; Fernández, Alfonso.', 'Juan Pascual Valdivia y Valenzuela (Alcalá la Real, c. 1737 - Olivares, 12 de marzo de 1811) fue un compositor y maestro de capilla español.\u200b Vida Juan Pascual Valdivia y Valenzuela nació en Alcalá la Real, en la provincia de Jaén, hijo de Gregorio Valenzuela y Valdivia y Ana Valdivia, hacia 1735 o 1737.\u200b La fecha de su nacimiento se calcula por su ordenación de sacerdote en 1762. En ese momento la edad mínima para ordenarse era de 25 años, por lo que debió nacer hacia 1737 o poco antes.', 'En la Escuela de Bellas Artes tiene compañeros a Darío Villalba, Ángel Estrada, Isidro López Murias. Su amigo Luis Santiago, músico, le permite conocer a artistas flamencos como Pepe el de la Matrona, Lola Flores, Antonio Mairena... El flamenco marcará un importante aspecto en la vida y obra del pintor. Aprovecha las vacaciones para viajar por España (León, Galicia), Francia (vendimias) y Europa (Bélgica, Holanda, Alemania). Y en los últimos años para hacer la mili como alférez en Canarias.', 'Casilda Medina Conradi es la actual marquesa de Solera. Bibliografía Fundación Medinaceli: Sucesión del Señorío y Marquesado de Solera. Genealogía de los Condes y Duques de Santisteban del Puerto, Señores y Marqueses de Solera', 'Lignum Crucis (relicario barroco, S. XVII). Soledad de María (bajo la advocación de Virgen de la Aurora) acompañada por S. Juan Apóstol. La Virgen es obra Juan A. Sánchez Sáez (Baeza 1982) reformada por Manuel Hernández León (Sevilla 1988) quien también talló a S. Juan en el mismo año.']","Maite Martín Valdivia consiguió la diplomatura en Informática por la Universidad de Granada en 1990. Más tarde, en 1992, obtuvo la licenciatura en Informática en la misma universidad, realizando más tarde su tesis doctoral en la Universidad de Málaga.","María Teresa (ó Maite) Martín Valdivia (Jaén) es doctora en informática. Desde 1995 trabaja en la Universidad de Jaén como profesora del área de Lenguajes y Sistemas Informáticos del Departamento de Informática. Desde 2019 es catedrática de universidad. Forma parte del equipo de investigación SINAI (Sistemas Inteligentes de Acceso a la Información) desde su creación en 2001.​ Su área de especialización es el Procesamiento del Lenguaje Natural, y en la actualidad investiga dentro de los temas de análisis de opiniones y emociones, minería de textos, aprendizaje automático y búsqueda y recuperación de información en biomedicina. Biografía Se diplomó (1990) y licenció (1992) en Informática en la Universidad de Granada. Realizó su tesis doctoral en Informática en la Universidad de Málaga Desde 2007 es miembro del Consejo Asesor de la Sociedad Española para el Procesamiento del Lenguaje Natural (SEPLN), en cuya Junta Directiva fue tesorera desde 2007 hasta 2019.​​ Fue directora del Secretariado de Investigación de la Universidad de Jaén del 27 de noviembre de 2017 al 29 de abril de 2019."
3,Dame un resumen de la Leyenda del Lagarto de la Malena,"['Prólogo de Juan Eslava Galán, 1997. Los maquis en Sierra Mágina. Prólogo de Baltasar Garzón Real, 1998.\u200b La Guerra no acabó en el 39 (lucha guerrillera y resistencia republicana en la provincia de Jaén. 1939-1952). Prólogo de Cándido Méndez, 2001.\u200b Crónicas del crimen, 2002.\u200b\u200b Vivir para contarlo (el drama de la lucha guerrillera en Sierra Morena), 2004.\u200b La fosa del Tamaral (investigación y exhumación tras 58 años de silencio), 2004. Víctimas, Jaén en guerra.', 'El arte de ser granaino. Ediciones Esdrújula, 2022 El misterio del practicante, Ediciones Esdrújula, 2023', '2004-2009, Hermandad de los Dolores (El Viso del Alcor). Manto de la Virgen de la Soledad;\u200b manto y saya de la Virgen de los Dolores; restauración del palio de la Virgen de la Soledad. Hermandad de Los Servitas (Sevilla). Manto de la Virgen del Mayor Dolor en su Soledad. 2006, Hermandad de La Carretería (Sevilla). Palio de la Virgen de los Dolores. 2009, Hermandad de San Gil (Écija). Palio Virgen de los Dolores.', '""Miembro honorífico"" de la Asociación Latinoamericana de Archivos,\u200b\u200b reconocimiento aprobado y entregado en ocasión de la Asamblea General de la ALA (Sevilla, 2020).', 'Guía de títulos (en linea, búsqueda: Bornos). Consultada el 29 de marzo de 2023. Guerra, Juan Carlos de. «Ilustraciones genealógicas de los linajes vascongados contenidos en las Grandezas de España compuestas por Esteban de Garibay» [15.ª entrega]: apéndice 7.º, en Revista internacional de los estudios vascos, vol. 15, n.º 1 (1924), pp. 138-162: pp. 160-162. Llanos y Torriglia, Félix de.']","Aunque existen varias versiones, la más aceptada es la siguiente: ""En el barrio de la magdalena había un temible lagarto que atacaba a todas las personas que pasaban por allí a por agua, pues Jaén es muy rica en agua. Los ciudadanos ya estaban hartos y pidieron al rey que enviase a alguien a combatir contra el lagarto. Un preso que estaba condenado se ofreció a cambio de que le liberasen. Pidió la piel de una oveja, pólvora, panes y un caballo. Fue hacía el raudal y empezó a tirarle los panes al enorme lagarto. llegó a una calle sin salida y le tiro la oveja con la pólvora dentro. El lagarto se la tragó. Al cabo de unos minutos explotó y el preso retomó su libertad.""","Según el mito, cuya primera referencia escrita data de 1628, en una cueva junto a la fuente de la Magdalena apareció un lagarto de grandes dimensiones (Gran Sierpe o Dragón), que atemorizaba a la gente y (dependiendo de la versión) se comía a quien iba a por agua o a las ovejas de los alrededores. Los vecinos de la Magdalena, asustados, no se atrevían a salir al manantial, por lo que buscaron una solución al problema del lagarto. En este punto, la leyenda se diversifica, habiendo tres versiones distintas de la muerte del reptil: El preso y los panes Un preso condenado a muerte solicitó su libertad a cambio de matar al lagarto. Tal era la desesperación de los vecinos que se le concedió la oportunidad de intentarlo. Para ello, solicitó un caballo, un costal de panes calientes y un saco con pólvora. Por la noche, el preso se presentó junto a la cueva y fue dejando una hilera de panes. El animal se despertó y se los fue comiendo tras el preso, que continuaba lanzando panes mientras huía a caballo. Al llegar a la plaza de San Ildefonso, en lugar de un pan le lanzó el saco de pólvora, que el animal devoró del mismo modo y, acto seguido, explotó."
4,¿Cuando sale la procesión del Abuelo?,"['Monta cruz de mayo y organiza procesión infantil. El tríduo a sus Titulares es en plena Cuaresma.', 'La procesión también se acompaña de un cuerpo de caballeros con traje oscuro y cuerpo de mantillas ataviadas con la clásica mantilla española de color blanco o negro y traje de color claro.\u200b Marchas dedicadas a la Hermandad “Entre Luz y Esperanza”, Antonio Amodeo (2010).', 'Procesiona esta imagen en un trono con palio, obra todo del orfebre Orovio de la Torre (2000). El primer trono fue de madera dorada, obra también de Ramón Cuadra Moreno. Es llevada a costal por 35 costaleros y fue la primera hermandad de Úbeda que utilizó esta forma de procesionar. Los puntos de mayor interés son tanto la salida del templo y la entrada al mismo, así como la bajada de la cuesta de San Lorenzo hacia la «Puerta Graná».', 'Esta procesión general se convierte en uno de los hechos más característicos de la Semana Santa ubetense. El punto de salida es la Plaza Vázquez de Molina donde minutos antes al comienzo de la procesión ya se agolpan penitentes de distintas cofradías y los distintos tronos ofreciendo una mezcla de colores, sentimientos, tradición, devoción y arte.', 'Se utilizaba un carro del que tiraban un par de toros, se cubría el carro con ramas de pino, ponían el Santo en medio y se subían 4 chicas, una en cada esquina, y toda la gente procesionaba durante el camino. También iba el cura acompañando al santo y decía misa. Personas notables']","La procesión de ""El Abuelo"" sale a las calles el Viernes Santo, puesto que es una marcha que representa a Jesucristo llevando la cruz.","La marcha fue compuesta expresamente para Nuestro Padre Jesús Nazareno, conocido popularmente como \""El Abuelo\"", perteneciente a la Antigua, Insigne y Real Cofradía de Nuestro Padre Jesús Nazareno y María Santísima de los Dolores de Jaén. Esta especial dedicación de la marcha a esta talla, que goza de una gran devoción, quedó reflejado cuando el autor decidió incluir parte del Himno a Jaén en la propia marcha. En otras provincias como en Málaga es muy común que se toque en honor a Nuestro Padre Jesús Nazareno, así ocurre en Almogía, donde se toca en honor al sagrado titular de la Hermandad de Culto y Procesión de Nuestro Padre Jesús Nazareno, conocido también como \""El Nuestro Padre\"". Igualmente ocurre en Alhaurín el Grande, donde la Banda de Música de la Real Hermandad de Nuestro Padre Jesús Nazareno la toca en honor a \""Nuestro Padre Jesús\"", mientras los portadores de su trono de procesión lo depositan en el suelo y cantan alrededor del mismo el Himno a Nuestro Padre Jesús Nazareno, letra compuesta por Loli Romero. Composición Siendo Emilio Cebrián Ruiz director de la Banda Municipal de Jaén desde 1932 al haber ganado el concurso oposición celebrado al quedar vacante la plaza, el fabricano del paso de Nuestro Padre Jesús Nazareno de Jaén, D. Antonio Delgado, le pidió que compusiera una marcha procesional para el Señor, pues hasta ese momento durante la procesión tan sólo se interpretaban las marchas \""Pobre Carmen\"" y \""España llora\"". El Viernes Santo de 1934, durante el trascurso de la procesión, el maestro Emilio Cebrián Ruiz abandonó momentáneamente su condición de director de la Banda Municipal para portar el paso de Nuestro Padre Jesús desde el “Cantón de la Ropa Vieja” al “Campillejo de Santiago”."
5,¿Qué lleva el ochío?,"['En esta faceta.', 'En diciembre del 2022 se une a Okapi Producciones para formar parte del elenco de Equus en la gira nacional. Filmografía Series de televisión Cine Cortometrajes Premios y nominaciones Premio de la Unión de Actores y Actrices', 'El ochío\u200b —a veces también escrito hochío—\u200b es un producto de panadería tradicional típico de Baeza y Úbeda en la provincia de Jaén aunque se puede encontrar en otras ciudades de Andalucía; especialmente de la comarca de la Loma, aunque también en la comarca metropolitana de Jaén pero aquí elaborado de otra manera. Consiste en un pan de aceite de oliva virgen extra, pimentón y anís. El nombre le viene dado por ser la octava parte de la masa de un pan.', 'Ediciones de la Isla de Siltolá. ISBN 9788416682331.\u200b 2017 – Siberia es un estado de ánimo. En Huida. ISBN 9788416980437.\u200b 2019 – Reencarnación. Ediciones Complutenses. ISBN 9788466936149.\u200b 2020 – Error 404. Visor. ISBN 9788498953947.\u200b 2020 – Todo lo que te perdiste por meterte a monja. Difácil. ISBN 9788492476794.\u200b 2021 – Por mi culpa, por mi culpa, por mi gran culpa. Universidad de Murcia, Servicio de Publicaciones. ISBN 8417865373.\u200b 2021 – Servicio de lavandería. Hiperión.', 'Piros.']","El ochío está hecho con pan de aceite de oliva virgen extra, pimentón y anís. Es un plato tradicional de Úbeda, Jaén.","El ochío​ —a veces también escrito hochío—​ es un producto de panadería tradicional típico de Ubeda en la provincia de Jaén aunque se puede encontrar en otras ciudades de Andalucía; especialmente de la comarca de la Loma, aunque también en la comarca metropolitana de Jaén pero aquí elaborado de otra manera. Consiste en un pan de aceite de oliva virgen extra, pimentón y anís. El nombre le viene dado por ser la octava parte de la masa de un pan."
6,¿En qué equipos ha jugado Imanol Alguacil?,"['Cartel anunciador de la XXXII Fiesta de la Vendimia de Montilla y Moriles. 1988: El Ayuntamiento de Alcaudete da su nombre a una calle. Conferencia: ""El flamenco como expresión en las artes plásticas"" en el restaurante La Fragua. Inicia cursos de verano sobre el paisaje en Priego por encargo del Ayuntamiento. El Ateneo Casablanca le otorga la Fiambrera de Plata. La Asociación cultura y Progreso le nombra ""Cordobés 2000"". Muestra Antológica en la Diputación Provincial de Jaén.', 'Clubes y estadísticas Como jugador Como entrenador Actualizado de acuerdo al último partido dirigido el 23 de febrero de 2025. Fuente: Transfermarkt - Ceroacero. Resumen por competiciones Actualizado de acuerdo al último partido dirigido el 23 de febrero de 2025. Trivia Durante sus temporadas en la Real Sociedad la afición realista adoptó la costumbre de jalear las acciones de Imanol Alguacil cantando el estribillo de la canción Imanol del grupo de rock Platero y Tú. Palmarés Campeonatos nacionales', 'El caso Almería, de Pedro Costa, 1983. El crack II, de José Luis Garci, 1983. Los santos inocentes, de Mario Camus, 1984. El Pico II, de Eloy de la Iglesia, 1984. Dos mejor que uno, de Ángel Llorente, 1984. Madre in Japan, de Paco Perales, 1985. Stico, de Jaime de Armiñán, 1985. Total (película para televisión),de José Luis Cuerda, 1985. Crimen en familia, de Santiago San Miguel 1985. La corte de Faraón, de José Luis García Sánchez 1985. La vaquilla, de Luis García Berlanga, 1985.', 'Iglesia de Nuestra Señora de las Angustias, Ayamonte, provincia de Huelva. Pudiera tratarse de la imagen contratada por Montañés para el convento de franciscanos de la misma localidad.\u200b Cristo de la Expiración. Iglesia de la Trinidad, La Rambla, provincia de Córdoba.\u200b Virgen de la Hiniesta en sus misterios dolorosos. Iglesia de San Julián, Sevilla. Destruida en un incendio en 1932.\u200b Cristo yacente. Iglesia de Santa María de Almocóvar, Alcántara, provincia de Cáceres.\u200b Cristo yacente.', '""Miembro honorífico"" de la Asociación Latinoamericana de Archivos,\u200b\u200b reconocimiento aprobado y entregado en ocasión de la Asamblea General de la ALA (Sevilla, 2020).']","Durante su etapa como jugador, Imanol Alguacil ha jugado en la Real Sociedad, en el Villarreal, en el Real Jaén, en el Cartagonova y en el Burgos.","Imanol Alguacil Barrenetxea (Orio, 4 de julio de 1971) es un exfutbolista y entrenador español que actualmente dirige al primer equipo de la Real Sociedad. Fue conocido futbolísticamente como Imanol.​ Jugó en el puesto de lateral derecho en la Real Sociedad y Villarreal CF a lo largo de la década de 1990. Con estos dos equipos disputó un total de 121 partidos en la Primera División de España a lo largo de 9 temporadas. Trayectoria como jugador Imanol Alguacil nació en 1971 en la localidad guipuzcoana de Orio. Imanol destacó como un lateral derecho de gran proyección ofensiva, lo que le permitía jugar también en el centro del campo. Fue un jugador habitual en la Real Sociedad a principios de los años 1990, pero nunca acabó de consolidarse del todo en el equipo y finalmente su carrera fue a menos. Fue integrante de la plantilla del Villarreal CF, que debutó en Primera división en la temporada 1998-99, y acabó jugando en varios equipos en Segunda y Segunda B antes de retirarse."
7,¿En qué categoría juega el equipo de fútbol de Torredonjimeno?,"['La Unión Deportiva Ciudad de Torredonjimeno es un club de fútbol de la ciudad de Torredonjimeno, (Jaén) que en la actualidad compite en el Grupo IX de la Tercera División de España. Historia Fundación y primeros años La UDCT nació en 2009 para sustituir al histórico Torredonjimeno C. F., que había desaparecido ese mismo año debido a las deudas que arrastraba.', 'Sistema de competición Al igual que el número de equipos, habrá cuatro partidos en torneo. Ediciones Palmarés Participaciones Jugadores destacados Juan Alberto Hernangómez (Asefa Estudiantes) Guillermo Hernangómez (Real Madrid C. F.) Jorge Sanz (Real Madrid C. F.) Alberto Díaz Ortiz (Unicaja S.D.) Oriol Paulí (F.C. Barcelona Regal) Domantas Sabonis (Unicaja S.D.) Kristaps Porziņģis (Cajasol) Beka Burjanadze (Cajasol) Dani Díez (Real Madrid C. F.) Alexander Zhigulin (F.C. Barcelona) Nick Spires (F.C.', 'Palmarés Nota: en negrita competiciones vigentes en la actualidad. El club jiennense es uno de los más reconocidos a nivel nacional y regional por ostentar en su palmarés 12 títulos de nivel nacional, convirtiéndose así en el club andaluz con mayor palmarés nacional y uno de los 140 clubes que han ganado alguna una competición nacional. Torneos nacionales Torneos regionales Torneos amistosos principales Otros premios Trofeo Amberes (1): 1958. Premio Juego Limpio de la RFEF (1): 2016.', 'Según datos oficiales, el escudo de Torredonjimeno se caracteriza por:\u200b Bandera La bandera de Torredonjimento tiene la siguiente descripción: Himno En el año 2006 fue aprobado el Himno Oficial de la localidad mediante Concurso de Composición a nivel Nacional y cuya música y letra pertenece a Don Miguel Rueda Carpio, profesor superior de música especializado en interpretación, composición y dirección musical, que fue galardonado con el primer y único premio del concurso de ideas para su creación, a la edad de 22 años.\u200b La letra del himno es la siguiente:\u200b Administración y política Administración municipal La administración municipal es llevada a cabo por el ayuntamiento de Torredonjimeno, institución que gobierna el municipio y cuyos miembros son elegidos cada cuatro años por sufragio universal desde las primeras elecciones municipales tras la reinstauración de la democracia en España, en 1979.', 'Aunque esto sea historia del equipo de fútbol de Torredonjimeno, destaca el hecho de que se nombre a Arregui en otros clubes. Selección nacional El 8 de noviembre de 1953, fue convocado por la selección española, cuando el Jaén estaba aún en Segunda División, para jugar un partido amistoso frente a la selección de fútbol de Suecia en un partido celebrado en Bilbao en el estadio de San Mamés, aunque no debutó con la selección.']",El Unión Deportiva Ciudad de Torredonjimeno compite actualmente en el grupo nueve de la Tercera División.,"La Unión Deportiva Ciudad de Torredonjimeno es un club de fútbol de la ciudad de Torredonjimeno, (Jaén) que en la actualidad compite en el Grupo IX de la Tercera División de España. Historia Fundación y primeros años La UDCT nació en 2009 para sustituir al histórico Torredonjimeno C. F., que había desaparecido ese mismo año debido a las deudas que arrastraba."
8,¿Cómo se llama el estadio del equipo de fútbol sala de Jaén?,"['Cómo este último, el resto de equipos y aficionados jiennenses al fútbol cuentan con los campos de fútbol de césped artificial «Sebastián Barajas» con capacidad para 2500 espectadores, el de la Universidad de Jaén y el campo de fútbol «Manu del Moral» en el polideportivo «Las Fuentezuelas».\u200b El fútbol sala siempre ha tenido gran tradición en la ciudad, que actualmente cuenta con dos equipos, el Jaén Fútbol Sala, que milita en la división de honor de la Liga Nacional de fútbol sala,\u200b y el Club Deportivo Jaén, que milita en el grupo 8 de la Primera Nacional ""A"".', 'El Club Deportivo Jaén es un equipo de fútbol sala de Jaén, España fundado en 2001. Actualmente juega en la Primera Nacional ""A"".', 'El 29 de octubre de 1944 se inaugura el, por entonces, Estadio de la Victoria, situado en el centro de Jaén, el cual se convirtió durante 60 años en un símbolo más del club jiennense, así como un difícil obstáculo de superar para sus rivales debido a sus reducidas dimensiones y a la relativa cercanía de las gradas respecto al terreno de juego. El partido inaugural enfrentó a la Olímpica contra el Algeciras CF, siendo el resultado final de 2-2.', 'La plaza de toros de Jaén, también conocida como Coso de La Alameda, es un coso taurino situado en el municipio español de Jaén, en la provincia homónima. La plaza fue inaugurada en 1962 y tiene un aforo de 10.500 espectadores. Ubicación Se encuentra ubicada junto al Parque de la Alameda, en el barrio de San Ildefonso en la ciudad de Jaén, dentro de un entorno donde se localizan igualmente el Auditorio de Jaén y el Convento de las Bernardas.', 'La actualidad deportiva del equipo municipal Real Jaén los lunes a las 16:00 en Minuto 90 con Manolo García. De lunes a viernes, un programa de entretenimiento llamado Vive la tarde presentado por Daniel Illana y Marta Negrillo a las 18:30. Organigrama La Sociedad Municipal de Comunicación e Imagen S.A. es una mercantil del ayuntamiento de Jaén.']",El estadio del Jaén Fútbol Sala es el Olivo Arena.,"El Palacio de Deportes Olivo Arena , conocido simplemente como Olivo Arena es un pabellón de la ciudad de Jaén (España). En él juega sus partidos de Primera División de fútbol sala el Jaén Paraíso Interior y también se albergan grandes eventos.​ Historia El pabellón se inaugura en 2021 y se convierte en la nueva casa del Jaén Paraíso Interior para disputar sus partidos de Primera División de fútbol sala.​ Puede albergar distintos tipos de eventos."
9,¿Cuando se prevé que acabarán las obras del CETEDEX?,"['del Centro de Educación e Investigación para la Paz (CEIPAZ), Madrid, CEIPAZ, 2011, ISSN 2174-3665 Manuela Mesa (Coord. ), Cambio de ciclo: crisis, respuestas y tendencias globales. Anuario 2012-2013 Archivado el 10 de abril de 2018 en Wayback Machine. del Centro de Educación e Investigación para la Paz (CEIPAZ). Madrid, CEIPAZ, 2012, ISSN 2174-3665 Manuela Mesa (Coord.', 'Notas', 'El resultado es una construcción flexible, desmontable, innovadora y circular. Inicialmente el Campus CETEDEX se distribuye a través de varios edificios independientes y autónomos y plantea tres pilares de actuación:\u200b Sistemas de defensa anti-dron. Sistema completo con capacidad de detección y neutralización, una zona de radiación controlada y una zona de vuelo e instalación de sensores. Vehículos autónomos e inteligentes.', 'Este sinclinal comprende, principalmente 2 grandes paquetes de dolomías cretácicas, como conjuntos de bancos decamétricos, que configuran los grandes ""tajos"": un paquete basal nº 1 (de edad Cenomaniense), al nivel de la cuerda del Mosco, el Colarico o el Portillo de la Losa; además de comprender la cara del ""mono"" del Cobos.', 'PERP. HUIC. MUNICIPII FRAVASOSON LIGITANORUM. CENAS. PVBLICAS. DECREVIT ET. LOCUM IN QUO STATUAS. SIBI, UXORI LIBERIS Q. PONERET.']","Se prevé que para diciembre de 2026 se alcance una capacidad inicial, mientras que para finales de 2029 sería la capacidad completa.","El Centro Tecnológico de Desarrollo y Experimentación o CETEDEX es un centro dependiente del Ministerio de Defensa, y adscrito al Instituto Nacional de Técnica Aeroespacial (INTA) anunciado en diciembre de 2022​ y cuya construcción se proyecta entre 2023 y 2029 en Jaén. El centro contará con un campus principal de 8 hectáreas y un campo de pruebas avanzado de 600 hectáreas​ en el Parque Empresarial Nuevo Jaén. Obras La construcción del campus principal se compone de dos fases: Vallado. Licitación prevista para abril de 2023 y ejecución entre julio y diciembre de 2023. Urbanización y edificaciones. Licitación prevista para septiembre de 2023 y ejecución de las obras durante 24 meses, a partir de julio de 2024. Por su parte, la recepción de la capacidad inicial se espera para diciembre de 2026 y la capacidad completa para finales de 2029​. El proyecto aún no tiene concreción alguna en planos o presupuesto."
